"Yield","Parameter","Value"
"DTB3","A",0
"DTB3","B_EconomicLevel",-0.028024
"DTB3","B_EconomicSlope",-0.011509
"DTB3","B_EconomicCurvature",0.077935
"DGS2","A",0
"DGS2","B_EconomicLevel",0.003525
"DGS2","B_EconomicSlope",0.006464
"DGS2","B_EconomicCurvature",0.085753
"DGS5","A",0
"DGS5","B_EconomicLevel",0.023046
"DGS5","B_EconomicSlope",-0.063253
"DGS5","B_EconomicCurvature",-0.034343
"DGS7","A",0
"DGS7","B_EconomicLevel",-0.022283
"DGS7","B_EconomicSlope",0.061204
"DGS7","B_EconomicCurvature",0.017991
"DGS10","A",0
"DGS10","B_EconomicLevel",0.020039
"DGS10","B_EconomicSlope",0.005534
"DGS10","B_EconomicCurvature",-0.027792
"DGS30","A",0
"DGS30","B_EconomicLevel",0.089346
"DGS30","B_EconomicSlope",0.024893
"DGS30","B_EconomicCurvature",-0.098331
